Date,Country,Confirmed Cases,Recovered,Deaths
2020/3/1,Mexico,1,0,0
2020/3/1,Luxembourg,1,0,0
2020/3/1,Kuwait,3,0,0
2020/3/1,Netherlands,5,0,0
2020/3/1,Norway,10,0,0
2020/3/1,Pakistan,1,0,0
2020/3/1,Qatar,1,0,0
2020/3/1,USA,0,0,1
2020/3/1,United Kingdom,15,0,0
2020/3/1,Thailand,0,0,1
2020/3/1,Switzerland,9,0,0
2020/3/1,Sweden,1,0,0
2020/3/1,Korea,376,3,1
2020/3/1,Spain,17,0,0
2020/3/1,Singapore,4,3,0
2020/3/1,San Marino,1,0,0
2020/3/1,Malaysia,4,0,0
2020/3/1,Israel,1,0,0
2020/3/1,China,578,2854,35
2020/3/1,Brazil,1,0,0
2020/3/1,Belgium,1,0,0
2020/3/1,Canada,4,0,0
2020/3/1,Bahrain,3,0,0
2020/3/1,Austria,5,0,0
2020/3/1,Armenia,1,0,0
2020/3/1,Japan,10,19,0
2020/3/1,Croatia,2,0,0
2020/3/1,Azerbaijan,2,0,0
2020/3/1,Australia,3,0,1
2020/3/1,Greece,3,0,0
2020/3/1,France,43,1,0
2020/3/1,Georgia,1,0,0
2020/3/1,Germany,51,0,0
2020/3/1,Iran,385,52,11
2020/3/1,Italy,240,4,8
2020/3/1,Iraq,5,0,0
2020/3/1,Ireland,1,0,0
2020/3/1,Ecuador,1,0,0
2020/3/2,Netherlands,3,0,0
2020/3/2,Korea,809,0,5
2020/3/2,Mexico,1,0,0
2020/3/2,Pakistan,1,0,0
2020/3/2,Egypt,1,0,0
2020/3/2,Singapore,4,2,0
2020/3/2,Spain,26,0,0
2020/3/2,Thailand,1,3,0
2020/3/2,United Kingdom,1,0,0
2020/3/2,Japan,24,0,1
2020/3/2,Switzerland,3,0,0
2020/3/2,Australia,1,0,0
2020/3/2,Norway,2,0,0
2020/3/2,Indonesia,2,0,0
2020/3/2,Canada,4,0,0
2020/3/2,Austria,4,0,0
2020/3/2,Bahrain,6,0,0
2020/3/2,China,203,2681,42
2020/3/2,Czech Republic,3,0,0
2020/3/2,Italy,566,33,5
2020/3/2,Diamond Princess Cruise Ship,1,0,0
2020/3/2,Ecuador,5,0,0
2020/3/2,Andorra,1,0,0
2020/3/2,France,30,0,0
2020/3/2,Germany,13,0,0
2020/3/2,USA,14,0,0
2020/3/2,Iran,523,0,12
2020/3/2,Iraq,6,0,0
2020/3/2,Dominican Republic,1,0,0
2020/3/2,Finland,3,0,0
